Format Version,1.23,Take Name,hri_snimanje_vjezbe_02_z,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-22 08.37.42.196 AM,Capture Start Frame,170907,Total Frames in Take,2549,Total Exported Frames,2549,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:zapesce,MarkerSet 001:zapesce,MarkerSet 001:zapesce
,ID,"524E5026B0DF76111F0","524E5026B0DF76111F0","524E5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
87,0.725000,26.526680,1443.859985,-32.059696,134.932587,1414.827637,-67.287285,68.038254,1438.566772,7.674307,56.485027,1460.341309,-117.826874
88,0.733000,26.342005,1443.830200,-32.085464,134.670181,1414.759644,-67.143814,67.793266,1438.520264,7.690204,56.358265,1460.281250,-117.837242
89,0.742000,26.139460,1443.779053,-32.058559,134.502335,1414.781128,-67.092964,67.608200,1438.494385,7.699302,56.164227,1460.239746,-117.824287
90,0.750000,25.947948,1443.717163,-31.999372,134.398788,1414.818115,-67.143051,67.482773,1438.449219,7.706302,55.943527,1460.222656,-117.804420
91,0.758000,25.785112,1443.647217,-31.953070,134.294006,1414.856812,-67.317436,67.386299,1438.449707,7.705320,55.691586,1460.217896,-117.763145
92,0.767000,25.644302,1443.573730,-31.884905,134.205566,1414.937744,-67.523712,67.295296,1438.439575,7.711549,55.415833,1460.232544,-117.709679
93,0.775000,25.450233,1443.518555,-31.849049,134.096451,1415.028076,-67.703300,67.195984,1438.466553,7.711810,55.150627,1460.262085,-117.645279
94,0.783000,25.276989,1443.511719,-31.785976,133.958679,1415.159790,-67.824760,67.081398,1438.514038,7.707792,54.929237,1460.285645,-117.632271
95,0.792000,25.100431,1443.527344,-31.813368,133.798691,1415.225952,-67.854156,66.921921,1438.577881,7.690650,54.743530,1460.300049,-117.653893
96,0.800000,24.898733,1443.606079,-31.843666,133.628403,1415.294189,-67.820900,66.667267,1438.559204,7.622995,54.611931,1460.284180,-117.670609
97,0.808000,24.703228,1443.699341,-31.894695,133.446686,1415.333862,-67.789963,66.497459,1438.642334,7.582771,54.488506,1460.328857,-117.713509
98,0.817000,24.540419,1443.821899,-31.986862,133.291565,1415.329956,-67.746155,66.424385,1438.792358,7.586883,54.376137,1460.377808,-117.778191
99,0.825000,24.360081,1443.928345,-32.079384,133.131927,1415.361816,-67.782608,66.263794,1438.915405,7.512456,54.260067,1460.415039,-117.928940
100,0.833000,24.260321,1444.032349,-32.194714,133.016083,1415.430786,-67.752045,65.959595,1439.020142,7.390262,54.167809,1460.445923,-118.061546
101,0.842000,24.174822,1444.135742,-32.326378,132.912003,1415.505371,-67.809395,65.810783,1439.204956,7.302380,54.048634,1460.463379,-118.242271
102,0.850000,24.096476,1444.222046,-32.439819,132.854782,1415.623901,-67.969231,65.823494,1439.334473,7.150666,53.908615,1460.505371,-118.379280
103,0.858000,24.064819,1444.235352,-32.514191,132.842575,1415.710205,-68.218811,65.818848,1439.408325,7.032179,53.757111,1460.574219,-118.517632
104,0.867000,24.025406,1444.246704,-32.582706,132.843826,1415.783203,-68.507866,65.816505,1439.506348,6.920654,53.623158,1460.609741,-118.625816
105,0.875000,24.034430,1444.250732,-32.644588,132.844482,1415.863159,-68.759598,65.830910,1439.577026,6.798273,53.461357,1460.661743,-118.723732
106,0.883000,23.938698,1444.270874,-32.713352,132.804840,1415.957153,-68.874756,65.845345,1439.602417,6.704346,53.335621,1460.705200,-118.816765
107,0.892000,23.858751,1444.330200,-32.811951,132.676636,1416.007812,-68.975014,65.742264,1439.656616,6.598548,53.223194,1460.741821,-118.953369
108,0.900000,23.722586,1444.393188,-32.915039,132.526016,1416.053711,-69.033119,65.559341,1439.762573,6.486770,53.130219,1460.767334,-119.033463
109,0.908000,23.597597,1444.520142,-33.029457,132.390213,1416.072632,-69.071838,65.374390,1439.902100,6.375719,53.064892,1460.809937,-119.168121
110,0.917000,23.493349,1444.621582,-33.169041,132.259308,1416.090454,-69.057899,65.184326,1440.058594,6.304566,53.005177,1460.843384,-119.266670
111,0.925000,23.365803,1444.722656,-33.267784,132.116364,1416.133545,-69.054230,65.019287,1440.179077,6.226427,52.949581,1460.855103,-119.360954
112,0.933000,23.267408,1444.801880,-33.338680,131.997864,1416.209717,-69.022881,64.910858,1440.302490,6.172383,52.849155,1460.872314,-119.436638
113,0.942000,23.184095,1444.870850,-33.380585,131.896439,1416.259521,-69.021935,64.836128,1440.356201,6.145572,52.774052,1460.908936,-119.457687
114,0.950000,23.129150,1444.889648,-33.401630,131.798538,1416.264160,-69.086540,64.788658,1440.381958,6.110274,52.687016,1460.890137,-119.464836
115,0.958000,23.097410,1444.842773,-33.404884,131.753708,1416.209106,-69.166801,64.750648,1440.330688,6.085844,52.640835,1460.867676,-119.488174
116,0.967000,23.064447,1444.755493,-33.406696,131.727249,1416.154053,-69.187569,64.724152,1440.261108,6.089798,52.576443,1460.844238,-119.461945
117,0.975000,23.011562,1444.673584,-33.385410,131.659821,1416.098755,-69.252831,64.676414,1440.161743,6.105454,52.499718,1460.812866,-119.435745
118,0.983000,22.997108,1444.579956,-33.344154,131.597000,1415.999146,-69.238022,64.667274,1440.031860,6.148965,52.446743,1460.756958,-119.406303
119,0.992000,22.972893,1444.466431,-33.325245,131.585403,1415.911865,-69.193810,64.649872,1439.930664,6.193780,52.406906,1460.695923,-119.352638
120,1.000000,22.965433,1444.393433,-33.273823,131.577682,1415.819824,-69.109947,64.613060,1439.818237,6.261246,52.400928,1460.621826,-119.278664
121,1.008000,22.931980,1444.347900,-33.240009,131.539185,1415.706055,-69.027184,64.542564,1439.750854,6.327148,52.425388,1460.572021,-119.228470
122,1.017000,22.879246,1444.335327,-33.229546,131.496246,1415.595459,-68.927406,64.472763,1439.721802,6.398034,52.438076,1460.502563,-119.220123
123,1.025000,22.805929,1444.310913,-33.221981,131.432327,1415.470581,-68.822174,64.332275,1439.688110,6.447076,52.443352,1460.467285,-119.151047
124,1.033000,22.759914,1444.309082,-33.194832,131.374191,1415.416504,-68.702812,64.230499,1439.661499,6.510132,52.486427,1460.419312,-119.108238
