Format Version,1.23,Take Name,hri_snimanje_vjezbe_02_x,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-22 08.38.13.948 AM,Capture Start Frame,174718,Total Frames in Take,2452,Total Exported Frames,2452,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:mali,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:palac,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:srednji,MarkerSet 001:zapesce,MarkerSet 001:zapesce,MarkerSet 001:zapesce
,ID,"524E5026B0DF76111F0","524E5026B0DF76111F0","524E5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51DE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","51FE5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0","517E5026B0DF76111F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
121,1.008000,66.871292,1385.490479,-81.212616,176.841187,1364.506470,-128.737213,111.176422,1381.218750,-43.648998,89.611526,1409.669678,-166.541122
122,1.017000,66.257904,1385.583374,-81.337341,176.220108,1364.631836,-128.925323,110.432800,1381.270630,-43.806690,88.918617,1409.675781,-166.672333
123,1.025000,65.438171,1385.626709,-81.444672,175.559616,1364.723633,-129.019928,109.769516,1381.329834,-43.923706,88.185287,1409.724731,-166.821594
124,1.033000,64.823044,1385.541016,-81.654083,174.816956,1364.681885,-129.158203,109.386520,1381.355957,-44.190651,87.443420,1409.774780,-166.999100
125,1.042000,64.199257,1385.504517,-81.793793,174.085037,1364.691895,-129.266602,108.792114,1381.411865,-44.446861,86.725266,1409.811523,-167.191986
126,1.050000,63.335175,1385.772461,-81.561684,173.487320,1364.902466,-129.359497,108.293922,1381.440552,-44.651402,86.031090,1409.796753,-167.323288
127,1.058000,62.810951,1385.666260,-81.859535,172.701538,1364.875977,-129.630508,107.625587,1381.545288,-44.744820,85.295410,1409.772461,-167.430191
128,1.067000,62.213818,1385.602661,-82.056686,172.008255,1364.873047,-129.852264,106.873619,1381.584106,-44.871120,84.496727,1409.801270,-167.540085
129,1.075000,61.458508,1385.868164,-81.961182,171.267578,1364.853516,-130.004898,106.064629,1381.609497,-44.900669,83.688278,1409.837402,-167.617294
130,1.083000,60.814899,1385.871948,-82.146347,170.499039,1364.918945,-130.110336,105.428268,1381.739990,-44.896561,82.909859,1409.908325,-167.708176
131,1.092000,60.175751,1386.146484,-82.018333,169.686859,1364.954224,-130.283295,104.905815,1381.924683,-45.030487,82.153999,1409.962280,-167.800186
132,1.100000,59.499680,1386.273682,-82.070381,169.009460,1365.221680,-130.375229,104.332634,1382.145264,-45.200356,81.389557,1410.004761,-167.903458
133,1.108000,58.797283,1386.319458,-82.113304,168.337875,1365.476440,-130.461517,103.712891,1382.391846,-45.309761,80.575478,1410.070679,-167.995987
