Format Version,1.23,Take Name,take_hri_studenti_01,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-15 07.58.01.512 AM,Capture Start Frame,121345,Total Frames in Take,2116,Total Exported Frames,2116,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,hri_studenti_ruka_01:dlan,hri_studenti_ruka_01:dlan,hri_studenti_ruka_01:dlan,hri_studenti_ruka_01:mali,hri_studenti_ruka_01:mali,hri_studenti_ruka_01:mali,hri_studenti_ruka_01:palac,hri_studenti_ruka_01:palac,hri_studenti_ruka_01:palac,hri_studenti_ruka_01:srednjak,hri_studenti_ruka_01:srednjak,hri_studenti_ruka_01:srednjak
,ID,"43727496F94F1DD11F0","43727496F94F1DD11F0","43727496F94F1DD11F0","43127496F94F1DD11F0","43127496F94F1DD11F0","43127496F94F1DD11F0","43227496F94F1DD11F0","43227496F94F1DD11F0","43227496F94F1DD11F0","43327496F94F1DD11F0","43327496F94F1DD11F0","43327496F94F1DD11F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
51,0.425000,71.660034,1319.604126,-519.361877,16.955841,1314.333984,-594.149292,165.063202,1343.963379,-526.050476,61.995232,1336.613281,-610.983337
52,0.433000,71.655754,1320.206055,-519.428223,16.997375,1314.963623,-594.257629,165.029175,1344.490601,-526.107910,62.027229,1337.222778,-611.028015
53,0.442000,71.667305,1320.782104,-519.511719,17.042137,1315.663818,-594.308533,165.019714,1345.083130,-526.175293,62.060032,1337.855957,-611.050720
54,0.450000,71.684875,1321.434570,-519.596008,17.037552,1316.428101,-594.354614,165.084885,1345.704468,-526.286194,62.117077,1338.505005,-611.136108
55,0.458000,71.668030,1322.140015,-519.681763,16.928963,1317.325928,-594.468018,165.044861,1346.427368,-526.301514,62.148140,1339.231567,-611.261780
56,0.467000,71.628906,1322.901733,-519.741516,16.988766,1318.119873,-594.582397,165.012405,1347.178589,-526.269104,62.147945,1339.991211,-611.377625
57,0.475000,71.613335,1323.704346,-519.805664,17.131010,1318.873901,-594.695679,164.974548,1347.963745,-526.238525,62.191807,1340.776978,-611.422729
58,0.483000,71.632126,1324.542358,-519.873169,17.257196,1319.651733,-594.791504,165.031738,1348.720459,-526.285706,62.310616,1341.635376,-611.437744
59,0.492000,71.662148,1325.401245,-519.956421,17.318176,1320.555420,-594.890808,165.033279,1349.499878,-526.315002,62.440273,1342.526245,-611.481873
60,0.500000,71.684639,1326.271973,-519.998352,17.375223,1321.590332,-594.984680,165.061310,1350.410889,-526.344421,62.489498,1343.447388,-611.538940
